Key,Source,Context,Changes,English,French,German,Klingon,Spanish
barbedFenceDesc,blocks,Trap,EnChanged,木と鋳造鉄から作られる鉄条網（barbed fence）は、敵の侵攻を抑えることができます。遅くなった彼らの対処は容易いでしょう。右クリックで設置できます。,"Barbed wire fences made from wood and iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.","Stacheldrahtzäune aus Holz und Eisen können Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere sie mit der sekundären Aktion.",,
barbedWireSheetDesc,blocks,Trap,EnChanged,製錬鉄（Forged Iron）から作られた有刺鉄線(barbed wire)は、ゾンビの侵攻を遅らせることができます。動きの鈍くなったゾンビの対処は容易いものと鳴るでしょう。右クリックで設置できます。,"Barbed wire made from iron can slow down enemies, making them easier to deal with. Place it by using the secondary action.","Stacheldraht aus Eisen kann Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere ihn mit der sekundären Aktion.",,
rScrapIronPlateMineDesc,blocks,Trap,EnChanged,くず鉄と火薬が原料のお手軽地雷。敵の足を破壊、または爆殺出来ます。\n [ Workbenchクラフト ],A primitive pressure plate mine made of iron and gunpowder. Good for hobbling or killing most enemies.\n [ Crafted in Workbench. ],"Eine primitive Druckplattenmine aus Eisen und Schießpulver. Gut, um die meisten Gegner zu verstümmeln oder töten.",,
hungry2Desc,buffs,Buff,EnChanged,あなたは飢え死にしかかっています。この際、腐った肉でも口にしたい気分です。\n健康値が大きく下がっていきます。,You are dying of starvation! Find something to eat!,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
hungry2Tooltip,buffs,Buff,EnChanged,You are starving.,You are dying of starvation! Find something to eat!,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
painkillersBuffDesc,buffs,Buff,EnChanged,痛み止めを飲みました。これからは痛みを感じにくいでしょう。,You took painkillers. Stuns will affect you less now.,,,
thirsty2Desc,buffs,Buff,EnChanged,脱水症を発症しました。この際、ナニカが入った水でもいいから飲んで喉を潤してください。,You are dying of thirst! Find something to drink!,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
thirsty2Tooltip,buffs,Buff,EnChanged,You are very thirsty and should drink plenty of fluids.,You are dying of thirst! Find something to drink!,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
blunderbussAmmoDesc,items,Ammo,EnChanged,ラッパ銃に込める弾薬です。\n紙と火薬と石があれば作れます。\n [ Ammo Workbenchクラフト ],Blunderbuss ammo can be made with paper and gun powder plus small rocks.\n [ Crafted in Ammo Workbench. ],"Munition für die Donnerbüchse kann mit Papier, Schießpulver und kleinen Steinen gefertigt werden.",,
ironCrossbowBoltDesc,items,Ammo,EnChanged,クロスボウボルト、強力なダメージを与えます。装備を切り替える場合は、リロードキーを長押ししてください。,An iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,"Ein Eisenbolzen für Armbrüste. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",,
rocketDesc,items,Ammo,EnChanged,ロケットランチャー用の弾薬、フォージとワークベンチで作成します。\n [ Workbenchクラフト ],A rocket used as rocket launcher ammunition can be crafted at a forge and workbench once you've read the schematic.\n [ Crafted in Workbench. ],"Eine Rakete dient als Munition für Raketenwerfer und kann mittels Schmiede und Werkbank gefertigt werden, wenn du den Bauplan dafür gelesen hast.",,
pumpShotgunSchematicDesc,items,Book,EnChanged,この本を読めば、自分でショットガン（pump shotgun）を分解・組み立て・修理することが出来るようになります。,"Learn how to assemble, repair and augment shotguns by reading this schematic.","In diesem Bauplan erfährst du, wie Schrotflinten zusammengesetzt, repariert und verbessert werden.",,"Lee el esquema para aprender a armar, reparar y mejorar escopetas de largo alcance."
animalHidePoncho,items,Clothes,EnChanged,Animal Hide Poncho,Leather Poncho,Lederponcho,,Poncho de piel de animal
bandanaClothesGroupDesc,items,Clothes,EnChanged,バンダナは、すこしの防御力をあたえます。,Bandanas provide some protection against damage.,Halstücher bieten etwas Schutz vor Schaden.,,"Las bandanas te mantienen fresco en climas calurosos y, al igual que toda la ropa, brindan un poco de protección contra otro tipo de daños."
hazmatShirt,items,Clothes,EnChanged,Hazmat Shirt,Hazmat Jacket,Schutzanzugjacke,,Camisa de material peligroso
shadesDesc,items,Clothes,EnChanged,サングラス（shades）でCOOLにキメろ。,Sunglasses make you look cool.,Mit einer Sonnenbrille siehst du cool aus.,,"Con estas gafas te ves cool, además te mantienes fresco en climas calurosos. "
coffeeBeansDesc,items,Farming,EnChanged,焙煎されたコーヒー豆。おいしいコーヒーが入れられそうです。,Brew coffee at a campfire or craft the beans into coffee seeds.,Braue Kaffee am Lagerfeuer oder verarbeite die Bohnen zu Kaffeesamen.,,
foodYuccaFruitDesc,items,Food,EnChanged,インディアンはサボテンを食用としていました。ウェイストランドでもそれは変わりません。ユッカフルーツ（food yucca）はサボテンから取得出来ます。,Yucca fruit is edible and can be juiced to gain a bit of water. It is harvested from cacti and yucca plants.,Die Yucca-Frucht ist essbar und kann von Kakteen geerntet werden.,,La yuca es comestible y se puede recoger de los cactus.
moldyBreadDesc,items,Food,EnChanged,自己責任で食べてください。Chemistry Stationで[87cefa]Antibiotics[-]を作れます。\n [ Chemistry Stationクラフト ],Eat at your own risk. Can be used to craft antibiotics at a chemistry station.\n [ Crafted in Chemistry Station. ],"Auf eigene Gefahr essen. Kann benutzt werden, um am Chemietisch Antibiotika zu fertigen.",,
blunderbussDesc,items,Gun,EnChanged,このハンドメイドの銃（blunderbuss）は、非常に近い距離での射撃でダメージが期待出来ます。,A primitive muzzle loader can be crafted from mainly forged iron. Effective at very close ranges.,Ein einfacher Vorderlader der hauptsächlich aus geschmiedetem Eisen gefertigt wird. Ist im Nahkampf sehr effektiv.,,"Se puede fabricar un arma de avancarga rudimentaria con tuberías, hierro forjado, madera y resortes. Eficaz a distancias muy cortas."
gunMP5Desc,items,Gun,EnChanged,9mm弾のサイレンサー付きサブマシンガン。\n分解・組み立て・修理には設計図を読みましょう。\n [ 組み立てかNPCのクラフト ],This silenced submachine gun uses 9mm ammo. Can be re-assembled and repaired if you read the schematic.\n [ Crafted by assembling parts and by Crafter NPC. ],"Diese schallgedämpfte Maschinenpistole verwendet 9 mm Munition. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.",,Esta metralleta pateaculos utiliza munición de 9 mm. Se puede rearmar y reparar si lees el esquema.
animalHideDesc,items,Item,EnChanged,獣の皮（Animal Hide）は衣服を作成したり、フォージ（Forge）に必要なふいご（bellows）の材料になります。,Use animal hide to make warm clothing and leather.,Tierhäute dienen dazu warme Kleidung und Leder herzustellen.,,"Una vez que hayas leído el libro del cuero, podrás usar la piel de animal para hacer ropa, fabricar fuelles para la fragua y cuero."
bellowsDesc,items,Item,EnChanged,ふいご。高温が必要なフォージのクラフトに欠かせないアイテムです。,"Bellows made with wood, leather and pipes are needed to make a forge.","Blasebälge bestehen aus Holz, Leder und Röhren, und sind notwendig, um eine Schmiede zu bauen.",,"Se necesitan fuelles de madera, piel de animal y tuberías para construir una fragua."
oilShaleDesc,items,Item,EnChanged,オイルシェール（oil shale）。砂漠で見つけることが出来ます。醸造器(Moonshine)で、ｶﾞｿﾘﾝの素材になります。,Oil shale can be found in the desert and crafted into gas at a chemistry station.,Ölschiefer kann in der Wüste gefunden werden und am Chemietisch zu Benzin verarbeitet werden.,,
springDesc,items,Item,EnChanged,スプリング（spring）は家具や武器などのクラフトの素材になります。,"Springs are great for making furniture, vault doors, hatches and more.","Schraubenfedern eignen sich prima dazu, Möbel, Tresortüren, Klappen und mehr zu fertigen.",,
yuccaFibersDesc,items,Item,EnChanged,植物の繊維（yucca fibers）は、草系のブロックを破壊すると手に入る素材で、その用途は多岐に渡ります。,Plant fibers are acquired from destroying grass & small plants. Can be used to craft many things and for planting grass using the secondary action.,Pflanzenfasern bekommt man von Gras und kleineren Pflanzen. Sie haben viele Verwendungszwecke. Mit der sekundären Aktion kann Gras gepflanzt werden.,,"La fibra vegetal es un recurso común que se adquiere al destruir hierba y pequeñas plantas. Se puede usar para fabricar diversos objetos, como ropa."
painkillersDesc,items,Medical,EnChanged,鎮痛剤（painkiller）。痛みを吹き飛ばして僅かに体力を回復する。薬は水と一緒にどうぞ。,Painkillers help you shrug off stunning blows and heal you a little over time. Like all chems they make you thirsty.,Du hast Schmerzmittel genommen.,,Tomaste analgésicos.
partsAuger_bladeDesc,items,Part,EnChanged,[87cefa]Auger[-]の部品です。Scienceが優秀ならWorkbenchで磨くと(クラフト)品質が上がります。\n [ Workbenchクラフト ],Used to assemble an auger. If your science skill is high enough you can recraft and improve it at the workbench.\n [ Crafted in Workbench. ],Ein Teil eines Erdbohrers. Wenn du in Wissenschaft gut bist dann kannst du ihn auf einer Werkbank neu fertigen und verbessern.,,
partsChainsaw_bladeDesc,items,Part,EnChanged,[87cefa]Chainsaw[-]の部品です。Scienceが優秀ならWorkbenchで磨くと(クラフト)品質が上がります。\n [ Workbenchクラフト ],Used to assemble a chainsaw. If your science skill is high enough you can recraft and improve it at the workbench.\n [ Crafted in Workbench. ],Ein Teil einer Kettensäge. Wenn du in Wissenschaft gut bist dann kannst du es auf einer Werkbank neu fertigen und verbessern.,,
concreteMixingDesc,progression,Perk,EnChanged,このパークは、コンクリート関連レシピを開放します。クラフトには、セメントミキサー(Cement Mixer)が必要です,Unlocks the ability to make cement. To make concrete you also need a cement mixer.,Schaltet die Fertigung von Zement frei. Um Beton herzustellen benötigst du zusätzlich einen Zementmischer.,,Desbloquea la habilidad de crear hormigón y el mezclador de cemento.
deadShotDesc,progression,Perk,EnChanged,ピストルによる部位破壊・首チョンパ確率を上げるパークです。効果対象：ピストル,Shoot them dead with style!  Every rank increases your chance to blow off heads and limbs with pistols and revolvers.,Erschieße sie mit Stil mit Pistolen und Revolvern! Jeder Rang erhöht die Chance Köpfe und Gliedmaßen abzuschießen.,,¡Mátalos con estilo! Aumenta las posibilidades de que el revólver haga que los sesos y las extremidades de los enemigos salgan volando con nada nivel.
theOutlawDesc,progression,Perk,EnChanged,この無法の大地で自分らしく生きて死ね。\nピストルの攻撃力が向上するperk。,You broke the laws of logic. Your pistol or revolver does more damage with every rank.,Du hast die Gesetze der Logik gebrochen. Pistolen und Revolver verursachen mit jedem Rang mehr Schaden.,,Has quebrantado las leyes de la lógica. El revólver inflige más daño con cada nivel.
44MagnumRoundCraftingDesc,progression,Skill,EnChanged,このパークは、.44マグナム弾薬のレシピを開放します。,Learn to craft .44 magnum rounds at a workbench.,"Lerne, wie .44 Magnum Patronen gefertigt werden.",,Aprende a fabricar balas para Magnum 44.
762mmRoundCraftingDesc,progression,Skill,EnChanged,このパークは、7.62mm弾薬のレシピを開放します。,Learn to craft 7.62mm rounds at a workbench.,"Lerne, wie 7,62 mm Patronen gefertigt werden.",,"Aprende a fabricar balas de 7,62 mm."
9mmRoundCraftingDesc,progression,Skill,EnChanged,このパークは、9mm弾薬のレシピを開放します。,Learn to craft 9mm rounds at a workbench.,"Lerne, wie 9 mm Patronen gefertigt werden.",,Aprende a fabricar balas de 9mm.
clothingArmor,progression,Skill,EnChanged,Clothing / Armor,Clothing / Armor,Kleidung / Rüstung,,Armadura pesadas
clothingArmorDesc,progression,Skill,EnChanged,服や防具を装備している時のダメージを軽減します。装備中にダメージを受けるとスキルが成長します。,Receive less damage while wearing clothing or armor. Gain skill by taking damage while wearing items from this group.,"Erleide weniger Schaden, während du Kleidung oder Rüstung trägst. Erhalte diese Fertigkeit, indem du Schaden erleidest, während du Gegenstände aus dieser Kategorie trägst.",,
healthNutDesc,progression,Skill,EnChanged,1レベル上がる毎に健康値の最大値と最低値を10点ずつ上げる。,Raise your minimum and maximum wellness with every rank of this perk.,Erhöhe den Mindest- und Maximalwert für dein Wohlbefinden mit jedem Rang dieser Eigenschaft.,,Aumenta 10 puntos de tu bienestar máximo y mínimo por nivel.
miner69erDesc,progression,Skill,EnChanged,1レベルごとにに掘削ツールの20％のダメージ上昇・10％のスタミナ軽減するパーク,Increase both block damage and harvested resources while decreasing the stamina used with mining tools.,Erhöhe den Blockschaden und die erbeuteten Resourcen mit Bergbauwerkzeugen und verbrauche weniger Ausdauer pro Schlag.,,"Inflige 20 % más de daño en bloque con herramientas de minería. Además, cada golpe consume un 10 % menos de resistencia por nivel."
shotgunShellCraftingDesc,progression,Skill,EnChanged,このパークはWorkbenchのショットガン弾薬のレシピを開放します。,Learn to craft shotgun shells at a workbench.,"Lerne, wie Flintenmunition gefertigt wird.",,Aprende a fabricar cartuchos de escopeta.
runForestRun,progression,Skill,EnChanged FrChanged,Run Forrest Run,Run Forrest Run,"Lauf Forrest, lauf!",,"Corre, Forrest, corre"
goDifficulty2,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Adventurer,Adventurer,Abenteurer,,Aventurero
goDifficulty3,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Nomad (default),Nomad (default),Nomade (Standard),,Nómada (predeterminado)
woodenBowDesc,items,Gun,EnChanged GrChanged,木製の弓（wooden bow）。音を立てずに遠距離から攻撃出来ます。動物・ゾンビを狩る時に役立ちます。\nリロードキー長押しでStone、Iron、Steel三種の矢を切り替えられます。,"Good for hunting and killing zombies. Uses stone, iron and steel-tipped arrows for ammunition. Hold reload to use alternate ammo.","Gut für die Jagd und um Zombies zu töten. Verwendet Pfeile mit Stein-, Eisen- oder Stahlspitzen. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",,Un arco de madera. Ideal para cazar y matar zombis. Usa flechas como munición. Mantén presionado recargar para usar munición alternativa.
cementDesc,items,Item,EnChanged GrChanged,「セメント」は[87cefa]Concrete mix[-]の原料の一つです。ただし、ConcreteのPerkと[e62020]Cement Mixer[-]が必要です。\n [ Forgeクラフト ],Cement is used to craft concrete mix. This requires the 'concrete' perk and a cement mixer.\n [ Crafted in Forge. ],Zement wird benutzt um Betonmischung zu fertigen. Daür brauchst du auch die Fertigkeit „Beton“ und einen Zementmischer.,,Se puede usar el cemento para fabricar baldosas. También puedes producir hormigón una vez que hayas comprado el beneficio de hormigón.
rock01,blocks,Block,EnChanged GrChanged KgNone,Small Rock 01,Small Rock 01,Kleiner Stein 01,,Piedra pequeña
rock02,blocks,Block,EnChanged GrChanged KgNone,Small Rock 02,Small Rock 02,Kleiner Stein 02,,Piedra pequeña
rock03,blocks,Block,EnChanged GrChanged KgNone,Small Rock 03,Small Rock 03,Kleiner Stein 03,,Piedra pequeña
rock04,blocks,Block,EnChanged GrChanged KgNone,Small Rock 04,Small Rock 04,Kleiner Stein 04,,Piedra pequeña
rock05,blocks,Block,EnChanged GrChanged KgNone,Small Rock 05,Small Rock 05,Kleiner Stein 05,,Piedra pequeña
rock06,blocks,Block,EnChanged GrChanged KgNone,Small Rock 06,Small Rock 06,Kleiner Stein 06,,Piedra pequeña
rock07,blocks,Block,EnChanged GrChanged KgNone,Small Rock 07,Small Rock 07,Kleiner Stein 07,,Piedra pequeña
rock08,blocks,Block,EnChanged GrChanged KgNone,Small Rock 08,Small Rock 08,Kleiner Stein 08,,Piedra pequeña
rock09,blocks,Block,EnChanged GrChanged KgNone,Small Rock 09,Small Rock 09,Kleiner Stein 09,,Piedra pequeña
rock10,blocks,Block,EnChanged GrChanged KgNone,Small Rock 10,Small Rock 10,Kleiner Stein 10,,Piedra pequeña
rock11,blocks,Block,EnChanged GrChanged KgNone,Small Rock 11,Small Rock 11,Kleiner Stein 11,,Piedra pequeña
rock12,blocks,Block,EnChanged GrChanged KgNone,Small Rock 12,Small Rock 12,Kleiner Stein 12,,Piedra pequeña
craftSkillArmor,progression,Skill,EnChanged KeyChanged,Armor Crafting,Armor Crafting,Rüstungsschmied,,Forjar armaduras
craftSkillArmorDesc,progression,Skill,EnChanged KeyChanged,服や防具を早く、高品質でクラフトできるようになり、修理の効率も上がります。スキルポイントで取得することで無学者、初心者、見習い、職人、専門家、匠へとスキルを育てることができます。,"Craft armor and clothes faster and at better quality while repairing them more efficiently. Buy levels of this perk to increase your skill from Crude to Novice, Apprentice, Journeyman, Professional and Master level.","Fertige Rüstungen und Kleidung schneller und von besserer Qualität und repariere sie zugleich effizienter. Kaufe die Fertigkeit um die Qualität von Krud auf Einfach, Lehrling, Geselle, Professionell und Meister zu verbessern.",,
candleTable,blocks,Block,EnChanged KgNone,Candle Table,Candle Table (POI),Kerze Freistehend (POI),,Vela
candleWall,blocks,Block,EnChanged KgNone,Candle Wall,Candle Wall (POI),Kerze mit Wandhalterung (POI),,Vela
candleTablePlayer,blocks,Block,New,Candle Table,Candle Table,Kerze Freistehend,,Vela
candleWallPlayer,blocks,Block,New,Candle Wall,Candle Wall,Kerze mit Wandhalterung,,Vela
treeAzalea,blocks,Block,EnChanged KgNone,Azalea,Azalea,Holz,,Madera
wallTorch,blocks,Block,EnChanged KgNone,Wall Torch,Wall Torch (POI),Fackel mit Wandhalterung (POI),,Antorcha
wallTorchPlayer,blocks,Block,New,Wall Torch,Wall Torch,Fackel mit Wandhalterung,,Antorcha
woodStairsBoard,blocks,Block,EnChanged KgNone,Wood board stairs,Wood board stairs,Holzstufen – Brett,,Tabla de escaleras de madera
mushroom01,blocks,Farming,EnChanged,Mushroom 01 (Harvestable),Mushrooms 01 (POI),Pilze 01 (POI),,Setas 01
mushroom02,blocks,Farming,EnChanged,Mushroom 02 (Harvestable),Mushrooms 02 (POI),Pilze 02 (POI),,Setas 02
plantedBlueberry3Harvest,blocks,Farming,EnChanged KgNone,Blueberry Plant (Harvestable),Blueberry Plant (Harvestable),Gepflanzte Heidelbeere 3 – Ernte,,Sembrado Mora 3 Cosecha
signShopColdBeer,blocks,Sign,EnChanged KgNone,Sign (C)old Beer,Sign (C)old Beer,Bierladenschild,,Letrero de tienda Cerveza fría
woodLogSpike1Desc,blocks,Trap,EnChanged KgNone,「ログスパイク」はダメージを与え、足を切り裂き、敵を倒せる罠で、ウッドスパイクよりも長持ちします。設置は右クリックで、強化も可能です。,"Log spike traps can damage, cripple, even kill enemies and last longer than spike traps. Place them using the secondary action. (Upgradable)","Fallen mit spitzen Stämmen können Gegnern schaden, sie lähmen und sogar töten. Sie halten länger als Stachelfallen. Platziere sie mit der sekundären Aktion. (Aufwertbar)",,"Las trampas de pinchos de troncos de madera pueden dañar, lisiar e incluso matar a enemigos, y duran más que las trampas de pinchos. Usa la acción secundaria para colocarlas. (Se pueden mejorar)."
alcoholPoisoningDesc,buffs,Buff,EnChanged KgNone,アルコール中毒になりました。あなたが中毒から抜け出すには長い期間が必要です。,You have alcohol poisoning. There may be a duration but you're too sick to figure it out.,"Du hast eine Alkoholvergiftung. Dies hält vielleicht eine gewisse Zeit an, aber du kannst nicht rauskriegen, wie lange.",,"Tienes una congestión alcohólica. Puede que solo sea durante un rato, pero no sabes cuánto durará."
beerBuzz,buffs,Buff,EnChanged KgNone,ほろ酔い,Buzzed,Bierrausch,,Cerveza Buzz
ballCap,items,Clothes,EnChanged KgNone,White Baseball Cap,White Baseball Cap,Baseballmütze,,Gorra de béisbol
blueberrySeed,items,Farming,EnChanged KgNone,Blueberry Seed,Blueberry Seed,Heidelbeersamen,,Semillas de mora
potatoSeed,items,Farming,EnChanged KgNone,Potato Seed,Potato Seed,Saatkartoffel,,Semillas de papa
treePlantedMaple1mDesc,items,Farming,EnChanged KgNone,土に植えて木を育てましょう。砂漠や雪でも育ちますが、肥沃な土の方が良いでしょう,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",,Planta estas semillas en la tierra para que crezca un árbol.
treePlantedMountainPine1mDesc,items,Farming,EnChanged KgNone,土に植えて木を育てましょう。砂漠や雪でも育ちますが、肥沃な土の方が良いでしょう,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",,Planta estas semillas en la tierra para que crezca un árbol.
treePlantedWinterPine1mDesc,items,Farming,EnChanged KgNone,土に植えて木を育てましょう。砂漠や雪でも育ちますが、肥沃な土の方が良いでしょう,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",,Planta estas semillas en la tierra para que crezca un árbol.
beerDesc,items,Food,EnChanged KgNone,この味は自家製ビールです。ガツンと飲めば、ｽﾀﾐﾅ回復とスタンの耐性を手に入れます。おじいちゃんの味に似てるや。,"Gain stamina, bravado and stun immunity all in one bottle of this tasty home brewed beer. Just like grandpa used to make.","Erhalte Ausdauer, Wagemut und ein großes Ego. All das in nur einer Flasche dieses leckeren selbst gebrauten Biers. Das gleiche Bier, das Opa früher immer braute.",,"Aumenta tu resistencia, valentía y tu gran ego con una simple botella de esta deliciosa cerveza casera. Tal y como el abuelo solía hacerla."
ironFragment,items,Item,EnChanged KgNone,Raw Iron,Raw Iron,Eisenbruchstücke,,Trozos de hierro
ironFragmentDesc,items,Item,EnChanged KgNone,鉄の塊はスクラップして鉄を得ることができますが、Forgeでの溶解よりもロスが出ます。,Raw iron should be smelted in a forge but can also be scrapped at a loss.,"Einer der wichtigsten Schmiedegegenstände, mit dem auch Munition für die Donnerbüchse gefertigt werden kann.",,Un objeto de forja básico que se puede usar también para fabricar munición para trabucos.
leatherDesc,items,Item,EnChanged KgNone,なめし革（Leather）は、衣類やクロスボウを含め、色々なクラフトの材料になります。perk購入かスキル本を読めば作成出来ます。,"Leather can be used to make a variety of things including clothing, crossbows and bellows for a forge.","Mit Leder kann eine Reihe von Sachen hergestellt werden, darunter Kleidung, Armbrüste und Blasebälge für die Schmiede.",,"El cuero se puede usar para fabricar varios objetos, como ropa o ballestas, una vez que has leído el libro del Cuero."
rottingFleshDesc,items,Item,EnChanged KgNone,腐った肉。食べるを押せば、食べることができます。\n・・・、本当に食べてしまったのか？\nセメントミキサー(Cement Mixer)で肥料にできます。,You can eat it but it is probably better used to make fertilizer in a cement mixer.,"Du kannst es essen, solltest es aber wohl lassen.",,"Puedes comerla, pero probablemente no deberías."
painkillers,items,Medical,EnChanged KgNone,Painkillers,Painkillers,Schmerzmittel,,Analgésicos
pickupCrops,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0} {1},Press <{{0}}> to pick up: {0} {1},"<{{0}}> drücken, um {0} {1} aufzuheben",,Presiona <{{0}}> para recoger {0} {1}.
pickupPrompt,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0},Press <{{0}}> to pick up: {0},"<{{0}}> drücken, um {0} aufzuheben",,Presiona <{{0}}> para recoger {0}.
friendInviteAccepted,UI,Menu,EnChanged KgNone,Accepted friend request from {0}.,Accepted friend request from {0}.,Verbündeteschaftsanfrage von {0} angenommen.,,Aceptaste la solicitud de aliado de {0}.
friendInviteAccepted2,UI,Menu,EnChanged KgNone,{0} accepted your friend request.,{0} accepted your friend request.,{0} hat deine Verbündeteschaftsanfrage angenommen.,,{0} aceptó tu solicitud de aliado.
friendInviteDeclined,UI,Menu,EnChanged KgNone,Declined friend invite from {0}.,Declined friend invite from {0}.,Verbündeteschaftsanfrage von {0} abgelehnt.,,Rechazaste la invitación de aliado de {0}.
friendInviteDeclined2,UI,Menu,EnChanged KgNone,{0} declined your friend request.,{0} declined your friend request.,{0} hat deine Verbündeteschaftsanfrage abgelehnt.,,{0} rechazó tu solicitud de aliado.
friendInviteReceived,UI,Menu,EnChanged KgNone,Friend invite received from {0}.,Friend invite received from {0}.,Verbündeteschaftsanfrage von {0} erhalten.,,Recibiste una solicitud de aliado de {0}.
friendRemoved,UI,Menu,EnChanged KgNone,{0} was removed from your friends list.,{0} was removed from your friends list.,{0} wurde aus deiner Verbündete entfernt.,,Se eliminó a {0} de tu lista de aliados.
friendRemoved2,UI,Menu,EnChanged KgNone,{0} removed you from their friends list.,{0} removed you from their friends list.,Du wurdest aus der Verbündete von {0} entfernt.,,{0} te eliminó de su lista de aliados.
friendSentInvite,UI,Menu,EnChanged KgNone,Friend invite sent to {0}.,Friend invite sent to {0}.,Verbündeteschaftsanfrage an {0} geschickt.,,Invitación de aliado enviada a {0}.
goDayLengthDesc,UI,Menu,EnChanged KgNone,How long it takes for 24 hours to pass in the game.,How long it takes for 24 hours to pass in the game.,"Bestimmt, wie lange es in Echtzeit dauert, bis 24 Stunden im Spiel vergehen.",,Cuánto tardan en pasar las 24 horas en el juego en minutos reales.
lblCategoryScavenging,UI,Tooltip,EnChanged KgNone,収集/売買,Scavenging/Trading,Plünderung,,Carroñar
itemTooltipFocusedOne,UI,Use Prompt,EnChanged KgNone,<{0}> Collect: {1},<{0}> Collect: {1},<{0}> Sammle {1},,<{0}> Recoge {1}
