Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ObjectiveZombieKill_keyword,,Keywords,KgNone,,Kill,Töten,,Mata
RequirementBuff_keyword,,Keywords,KgNone,,Effect,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,,Using,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,,Level,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,,Wear,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,,Level,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,,New Quest,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,,Recipe Unlocked,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,,Skill,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,,Skill Point,Fertigkeitspunkt,,Punto de habilidad
requirementGroupFireaxe,,Requirement Group,KgNone,,Holding Fire Axe,Feueraxt halten,,Sostener un hacha de incendio
requirementGroupShotgun,,Requirement Group,KgNone,,Holding Shotgun,Schrotflinte halten,,Sostener una escopeta
tutorialTipQuest01,,Popup Tip,KgNone,,"Dear Friend,\n\nThe wasteland can be an unforgiving place, and you look like you could use some help. Enclosed is a short guide to help you survive. If you complete it, we just might take in a new citizen. The White River Settlement, it's real and it's safe.\n\nGood Luck, Noah","Lieber Freund!\n\nDas Ödland kann gnadenlos sein und du siehst aus, als könntest du etwas Hilfe gebrauchen. Anbei findest du eine kurze Anleitung, die dir beim Überleben hilft. Wenn du sie abschließt, nehmen wir vielleicht einen neuen Bürger auf. Die Siedlung von White River gibt es wirklich und sie ist sicher.\n\nViel Glück! Noah",,"Querido/a amigo/a:\n\nEl páramo puede ser un sitio peligroso y parece que necesitas una mano. Encontrarás una pequeña guía adjunta para ayudarte a sobrevivir. Si la completas, puede que te aceptemos como un nuevo ciudadano. El asentamiento Río Blanco es real y seguro.\n\nBuena suerte, Noah."
tutorialTipQuest02,,Popup Tip,KgNone,,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.","„Das 1x1 des Überlebens“ ist deine aktive Quest. Der Status der Quest ist oben rechts über den Ziel-Tracker einsehbar. Öffne dein Inventar und dann das Quest-Menü, um mehr über Quests zu erfahren.",,"Tu misión activa es supervivencia básica. El estado de la misión se muestra en el indicador de objetivos, en la parte superior derecha de la pantalla. Accede a tu inventario y navega por el menú misiones para obtener más información sobre éstas."
skillPointTip,,Popup Tip,EnChanged,,"You have earned Skill Points. Spend them by accessing your Inventory and navigating to the Skills menu, then highlight the desired Skill or Perk and purchase it.","Du hast Fertigkeitspunkte erhalten. Nutze sie, indem du von deinem Inventar aus das Fertigkeiten-Menü aufsuchst, die gewünschte Fertigkeit oder Eigenschaft markierst und dann kaufst.",,"Ganaste un Punto de habilidad por completar la misión Supervivencia básica. Para gastarlo, accede a tu Inventario y navega al menú de Habilidades. Luego, selecciona la habilidad o beneficio deseado y cómpralo."
quest_BasicSurvival,,Quest Info,KgNone,,Basic Survival,Das 1x1 des Überlebens,,Supervivencia básica
quest_BasicSurvival1,,Quest Info,Reordered,,Basic Survival 1/8,Das 1x1 des Überlebens 1/8,,Supervivencia básica 1/8
quest_BasicSurvival1_subtitle,,Quest Info,Reordered,,Craft a Bedroll,Fertige einen Schlafsack,,Fabrica un saco de dormir.
quest_BasicSurvival1_description,,Quest Info,Reordered,,"Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button. \n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Fertige einen Schlafsack, indem du Pflanzenfasern sammelst. Wenn du die Zutaten hast, öffne dein Handwerks-Inventar und gehe zur Rezeptkategorie „Grundlagen“. Markiere das Rezept und klicke auf „Fertigen“. \n\nPlatziere den Schlafsack in der Welt, indem du ihn zuerst ausrüstest und dann die sekundäre Aktionstaste verwendest. Wenn er platziert ist, erscheint ein Bett-Symbol auf deinem Kompass und deiner Karte. Dies wird dich zurück nach Hause führen, und außerdem wirst du hier wiedererscheinen, falls du stirbst.",,"Fabrica un saco de dormir con fibra vegetal. Una vez tengas los ingredientes, abre el menú de fabricación, ve a la categoría de recetas básicas, selecciona la receta y presiona el botón de fabricar. \n\nPara poner el saco de dormir en el mundo, equípalo y presiona el botón de acción secundaria. Una vez puesto, verás un icono de una cama en la brújula y en el mapa. Esto te guiará de nuevo a tu casa y será un punto de reaparición si mueres."
quest_BasicSurvival2,,Quest Info,Reordered,,Basic Survival 2/8,Das 1x1 des Überlebens 2/8,,Supervivencia básica 2/8
quest_BasicSurvival2_subtitle,,Quest Info,Reordered,,Craft a Stone Axe,Fertige eine Steinaxt,,Fabrica un hacha de piedra.
quest_BasicSurvival2_description,,Quest Info,Reordered,,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Fertige eine Steinaxt, um dich besser zu verteidigen, und sammle Fertigungszutaten dafür. Sammle die Zutaten, indem du Gras, Steine oder Holzobjekte angreifst. Du kannst auch kleine Steine aufheben, indem du sie ansiehst und die Aufheben-Aktion verwendest. Wenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster in der Kategorie „Grundlagen“ die Steinaxt aus. Fertige eine Steinaxt.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
quest_BasicSurvival3,,Quest Info,Reordered,,Basic Survival 3/8,Das 1x1 des Überlebens 3/8,,Supervivencia básica 3/8
quest_BasicSurvival3_subtitle,,Quest Info,Reordered,,Craft Plant Fiber Clothing,Fertige Kleidung aus Pflanzenfasern,,Fabrica ropa de fibra vegetal.
quest_BasicSurvival3_description,,Quest Info,Reordered,,"Craft plant fiber clothing to protect you from damage and keep you warm in cold weather. Gather plant fibers by attacking grass and small plants. Once you have the ingredients, access the Inventory and locate the Clothing category of the Crafting window. Craft plant fiber clothing.","Fertige Kleidung aus Pflanzenfasern, um dich vor Schaden zu schützen und dich bei kaltem Wetter warm zu halten. Sammle Pflanzenfasern, indem du Gras und kleinere Pflanzen angreifst. Wenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster die Kategorie „Kleidung“ aus. Fertige Kleidung aus Pflanzenfasern.",,"Fabrica ropa de fibra vegetal para protegerte de daño y mantenerte en calor cuando haga frío. Ataca a la hierba o a las plantas pequeñas para recoger fibra vegetal. Una vez que tengas los ingredientes, accede al Inventario y localiza la ropa en la ventana de Fabricación. Fabrica ropa de fibra vegetal."
quest_BasicSurvival4,,Quest Info,Reordered,,Basic Survival 4/8,Das 1x1 des Überlebens 4/8,,Supervivencia básica 4/8
quest_BasicSurvival4_subtitle,,Quest Info,Reordered,,Wear Plant Fiber Clothing,Trage Kleidung aus Pflanzenfasern,,Ponte ropa de fibra vegetal.
quest_BasicSurvival4_description,,Quest Info,Reordered,,"To wear your plant fiber clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.","Um deine Kleidung aus Pflanzenfasern zu tragen, öffne dein Inventar und wähle ein Kleidungsstück aus. Dann wähle im Aktions-Fenster „Tragen“ aus. Wenn du Kleidung trägst, öffne das Charakter-Menü, um oben links zu sehen, wie viel Wärmedämmung und Verteidigung sie bietet.",,"Para ponerte la ropa de fibra vegetal, accede al Inventario y selecciona la prenda. Entonces, selecciona Vestir en la ventana de Acción. Una vez vestido, accede al menú del Personaje para ver el aislamiento y la defensa que aporta la ropa que te has puesto en la esquina superior izquierda de la ventana del Personaje."
quest_BasicSurvival5,,Quest Info,Reordered,,Basic Survival 5/8,Das 1x1 des Überlebens 5/8,,Supervivencia básica 5/8
quest_BasicSurvival5_subtitle,,Quest Info,Reordered,,Craft Wooden Club,Fertige einen Holzknüppel,,Fabrica un garrote de madera.
quest_BasicSurvival5_description,,Quest Info,Reordered,,"Gather wood by attacking trees or bushes. Once you have the ingredients, access the Inventory and locate Wooden Club in the Basics category of the Crafting window. Craft a Wooden Club.","Sammle Holz, indem du Bäume und Büsche angreifst. Wenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster in der Kategorie „Grundlagen“ den Holzknüppel aus. Fertige einen Holzknüppel.",,"Ataca árboles y arbustos para reunir madera. Una vez que tengas los ingredientes, accede al Inventario y localiza el Garrote de madera en la categoría Básico de la ventana de Fabricación. Fabrica un garrote de madera."
quest_BasicSurvival6,,Quest Info,Reordered,,Basic Survival 6/8,Das 1x1 des Überlebens 6/8,,Supervivencia básica 6/8
quest_BasicSurvival6_subtitle,,Quest Info,Reordered,,Craft Bow & Arrows,Fertige einen Bogen und Pfeile,,Fabrica un arco y flechas.
quest_BasicSurvival6_description,,Quest Info,Reordered,,"Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Wooden Bow and Arrows.","Jetzt da du eine Nahkampfwaffe hast, kannst du auch eine Fernkampfwaffe gebrauchen. Sammle Holz, Steine, Pflanzenfasern und Federn aus Vogelnestern auf dem Boden. Wenn du die Zutaten hast, wähle die Kategorie „Grundlagen“ im Fertigungs-Fenster. Fertige einen Holzbogen und Pfeile.",,"Ahora que tienes un arma cuerpo a cuerpo, no estaría mal un arma a distancia. Reúne madera, piedra, fibra vegetal y plumas que puedes encontrar por el suelo, en nidos de pájaros. Una vez que tengas los ingredientes, accede a la categoría Básico de la ventana de Fabricación. Fabrica un arco de madera y flechas."
quest_BasicSurvival7,,Quest Info,Reordered,,Basic Survival 7/8,Das 1x1 des Überlebens 7/8,,Supervivencia básica 7/8
quest_BasicSurvival7_subtitle,,Quest Info,Reordered,,Start a Base,Baue eine Basis,,Empieza una base.
quest_BasicSurvival7_description,,Quest Info,Reordered,,Gather wood and Craft Wooden Frames from the Basics category of the Crafting window. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,"Sammle Holz und fertige über die Kategorie „Grundlagen“ im Fertigungs-Fenster Holzrahmen. Platziere Holzrahmen in der Welt, indem du sie ausrüstest und die sekundäre Aktion verwendest. Werte sie mit einer Steinaxt und der sekundären Aktion auf, während du über zusätzliches Holz im Inventar verfügst.",,Reúne madera y fabrica estructuras de madera desde la categoría Básico de la ventana de Fabricación. Equipa las estructuras de madera y usa el botón de acción secundaria para colocarlas en el mundo. Mejóralas usando la acción secundaria con un hacha de piedra si tienes madera extra en tu inventario.
quest_BasicSurvival8,,Quest Info,KgNone,,Basic Survival 8/8,Das 1x1 des Überlebens 8/8,,Supervivencia básica 8/8
quest_BasicSurvival8_subtitle,,Quest Info,KgNone,,Build a Campfire,Mache ein Lagerfeuer,,Enciende una fogata.
quest_BasicSurvival8_description,,Quest Info,KgNone,,Gather small stones and Craft a Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook.,"Sammle kleine Steine und fertige über die Kategorie „Grundlagen“ im Fertigungs-Fenster ein Lagerfeuer. Rüste das Lagerfeuer aus und platziere es mit der sekundären Aktion in der Welt. Wenn es platziert ist, kannst du das Lagerfeuer verwenden, um dich warm zu halten oder um zu kochen.",,"Reúne piedras pequeñas y fabrica una fogata desde la categoría Básico de la ventana de Fabricación. Para poner la fogata en el mundo, equípala y usa la acción secundaria. Una vez puesta, podrás usar la fogata para cocinar o para entrar en calor."
quest_WhiteRiverCitizen,,Quest Info,KgNone,,White River Citizen,Bürger von White River,,Ciudadano de Río Blanco
quest_WhiteRiverCitizen1,,Quest Info,KgNone,,White River Citizen 1/1,Bürger von White River 1/1,,Ciudadano de Río Blanco 1/1
quest_WhiteRiverCitizen1_subtitle,,Quest Info,KgNone,,Journey to Settlement,Reise zur Siedlung,,Camino al asentamiento
quest_WhiteRiverCitizen1_description,,Quest Info,KgNone,,"Good Job Survivor,\n\nYou have proved to be capable with much potential. We have marked your map with the nearest White River Outpost location. There you will find a Trader where you can buy and sell goods, and trade stories with one of our friendly citizens.\n\nWelcome Aboard, Noah","Gute Arbeit, Überlebender!\n\nDu hast bewiesen, dass eine ganze Menge Potential in dir schlummert. Wir haben den nächstgelegenen Außenposten von White River auf deiner Karte markiert. Dort wirst du einen Händler finden, bei dem du Waren kaufen und verkaufen kannst, und du kannst Geschichten mit einem unserer friedlichen Bürger austauschen.\n\nWillkommen an Bord! Noah",,"Bien hecho, sobreviviente.\n\nHas demostrado ser capaz y tener un gran potencial. Hemos marcado tu mapa con el puesto de avanzada de Río Blanco más cercano. Allí, encontrarás a un vendedor al que podrás comprar y vender bienes e intercambiar historias con uno de nuestros amigables ciudadanos.\n\nBienvenido a bordo, Noah."
challenge_silenceofthelambs,,Challenge Info,KgNone,,Silence of the Lambs,Das Schweigen der Lämmer,,El silencio de los inocentes
challenge_silenceofthelambs_offer,,Challenge Info,KgNone,,"Dear Survivor,\nIf you've found this note then you know my crew and I have been watching you from afar. You're pretty good at survival but let's see if you can pass this test and just maybe we'll let you join our clan.\n\nGood Luck, Crazy Jake\n\nChallenge: Kill a screamer zombie.","Lieber Überlebender!\nWenn du diese Notiz gefunden hast, dann weißt du, dass meine Leute und ich dich aus der Ferne beobachtet haben. Du schlägst dich ganz gut im Überlebenskampf, aber sehen wir mal, ob du diesen Test bestehst. Und vielleicht darfst du dich dann unserem Klan anschließen.\n\nViel Glück! Crazy Jake\n\nHerausforderung: Töte einen Schreier-Zombie.",,"Querido/a sobreviviente:\nSi encuentras esta nota, sabrás que mi grupo y yo te hemos estado vigilando desde lejos. Se te da muy bien eso de sobrevivir, pero veamos si puedes pasar esta prueba. Si lo haces, quizá te puedas unir a nuestro clan.\n\nBuena suerte, Jake el Loco.\n\nDesafío: Mata a un zombi gritón."
challenge_silenceofthelambs_subtitle,,Challenge Info,KgNone,,Kill some Screamer Zombie,Töte einen Schreier-Zombie,,Mata zombis gritones
challenge_drunkanddisorderly,,Challenge Info,KgNone,,Drunk and Disorderly,Dicht und dichter,,Embriaguez y escándalo
challenge_drunkanddisorderly_offer,,Challenge Info,KgNone,,"Listen Punk,\nIf you've come to possess this note then know this. We've been watching you. You're pretty crafty but let's see if you can do this task and just maybe you can join our little band of merry survivors.\n\nCrazy is my middle name... Jake\n\nChallenge: Kill some zombies with your fists while drunk","Pass mal auf, du!\nWenn du im Besitz dieser Notiz bist, dann ist eines sicher: Wir beobachten dich. Du bist ja ganz clever, aber mal sehen, ob du diese Aufgabe erledigen kannst. Und vielleicht darfst du dich dann unserer kleinen Gruppe fröhlicher Überlebender anschließen.\n\nCrazy ist mein zweiter Vorname … Jake\n\nHerausforderung: Töte betrunken ein paar Zombies mit deinen Fäusten",,"Oye, tú:\nSi tienes esta nota, entonces debes saberlo. Te hemos estado vigilando. Eres muy hábil, pero vamos a ver si puedes hacer esto. Si lo haces, quizás te dejemos unirte a nuestra pequeña banda de alegres sobrevivientes.\n\nLoco es mi segundo nombre... Jake.\n\nDesafío: Mata zombis a puñetazos mientras estás borracho."
challenge_drunkanddisorderly_subtitle,,Challenge Info,KgNone,,Fist Fight Zombies Drunk,Betrunkener Faustkampf mit Zombies,,Emborráchate y pelea a puñetazos contra zombis.
challenge_nurseyoubacktohealth,,Challenge Info,KgNone,,Nurse You Back to Health,Die kranken Schwestern,,Cuidarte hasta curarte
challenge_nurseyoubacktohealth_offer,,Challenge Info,KgNone,,"Hey Survivor,\nIf you've come into possession of this note then you should know we've been tailing you. We like your style but before we roll out the red carpet to our camp let's see if you can handle this little test.\n\nCrazy ‘and I like it' Jake\n\nChallenge: Kill some nurse zombies","Hallo Überlebender!\nWenn du im Besitz dieser Notiz bist, heißt das, dass wir dich beobachten. Dein Stil gefällt uns, aber bevor wir dir den roten Teppich zu unserem Lager ausrollen, musst du erst diesen kleinen Test bestehen.\n\nCrazy „und so gefällt es mir“ Jake\n\nHerausforderung: Töte ein paar Krankenschwester-Zombies",,"Oye, sobreviviente:\nSi encontraste esta nota, sabrás que te estamos siguiendo. Nos gusta tu estilo, pero antes tender la alfombra roja a nuestro campamento, veamos si puedes pasar esta prueba.\n\nJake, loco de remate.\n\nDesafío: Mata a zombis enfermeros."
challenge_nurseyoubacktohealth_subtitle,,Challenge Info,KgNone,,Kill some Nurse Zombies,Töte ein paar Krankenschwester-Zombies,,Mata a Zombis Enfermeros.
challenge_copanattitude,,Challenge Info,KgNone,,Cop an Attitude,Dein Freund und Helfer,,Siempre llevando la contra
challenge_copanattitude_offer,,Challenge Info,KgNone,,"Traveler,\nThe fact that you're reading this note is no accident. My boys have been watching you and we're always looking for new recruits that are still on the living side of things. But before we get all chummy we'd like you to do this little thing to see what you're made of.\n\nThey call me Crazy Jake\n\nChallenge: Kill some zombie cops","Hallo Reisender!\nEs ist kein Zufall, dass du diese Notiz liest. Meine Jungs haben dich beobachtet und wir sind immer auf der Suche nach neuen Rekruten, die noch nicht das Zeitliche gesegnet haben. Aber bevor wir hier einen auf Kumpel machen, musst du diese Kleinigkeit erledigen, um zu zeigen, was du draufhast.\n\nMan nennt mich Crazy Jake\n\nHerausforderung: Töte ein paar Zombie-Polizisten",,"Viajero/a:\nEl que estés leyendo esta nota no es cosa del destino. Mis chicos te han estado observando. Siempre estamos en busca de reclutas nuevos que todavía tengan algo de vida en sus carnes. Pero antes de hacernos amigos, queremos que hagas algo para ver de qué estás hecho.\n\nMe llaman Jake el Loco.\n\nDesafío: Mata a zombis policía."
challenge_copanattitude_subtitle,,Challenge Info,KgNone,,Kill some Zombie Cops,Töte ein paar Zombie-Polizisten,,Mata a Zombis Policía.
challenge_dogdaysareover,,Challenge Info,KgNone,,The Dog Days Are Over,Wir gehen nicht vor die Hunde,,Adiós a los días de perro
challenge_dogdaysareover_offer,,Challenge Info,KgNone,,"Congrats Recruit,\nThis note is a personal invitation to join our clan. We've been following you and see potential. Do this job and we'll think about letting you join. Let's see if you're tough enough to kill some zombie dogs.\n\nI'm fucking Crazy Jake\n\nChallenge: Kill some zombie dogs","Gratuliere Rekrut!\nDiese Notiz ist eine persönliche Einladung, unserem Klan beizutreten. Wir haben dich beobachtet und dein Potenzial erkannt. Erledige diese Aufgabe und wir überlegen uns, dich aufzunehmen. Mal sehen, ob du stark genug bist, um ein paar Zombie-Hunde zu töten.\n\nIch bin der verdammte Crazy Jake\n\nHerausforderung: Töte ein paar Zombie-Hunde",,"Felicitaciones, recluta:\nEsta nota es una invitación personal para que te unas a nuestro clan. Te hemos estado siguiendo y parece que tienes potencial. Termina este trabajito y tal vez consideremos dejar que te unas a nosotros. Veamos si eres lo suficientemente fuerte como para matar algunos perros zombi.\n\nSoy el maldito Jake el Loco.\n\nDesafío: Mata a perros zombi."
challenge_dogdaysareover_subtitle,,Challenge Info,KgNone,,Kill some Zombie Dogs,Töte ein paar Zombie-Hunde,,Mata a Perros Zombi.
challenge_itsybitsyspider,,Challenge Info,KgNone,,Itsy Bitsy Spider,Die klitzekleine Spinne,,Itsi bitsi araña
challenge_itsybitsyspider_offer,,Challenge Info,KgNone,,"Hey Jackass,\nIf you're reading this note it should come as no surprise that we've been sizing you up. I've got just the test for a simpleton like you. Do it and we might take you in.\n\nCrazier than ever... Jake\n\nChallenge: Kill some spider zombies","Hey du Trottel!\nWenn du diese Notiz liest, sollte es dich nicht überraschen, dass wir dich beobachten. Und ich habe genau den richtigen Test für einen Dummkopf wie dich. Erledige ihn und vielleicht nehmen wir dich auf.\n\nVerrückter als je zuvor … Jake\n\nHerausforderung: Töte ein paar Spinnen-Zombies",,"Oye, imbécil:\nSi estás leyendo esta nota, no te extrañará saber que te estemos evaluando. Tengo la prueba perfecta para alguien tan papanatas como tú. Hazlo y puede que te dejemos unirte.\n\nJake, más loco que nunca.\n\nDesafío: Mata a algunas arañas zombi."
challenge_itsybitsyspider_subtitle,,Challenge Info,KgNone,,Kill some Spider Zombies,Töte ein paar Spinnen-Zombies,,Mata a algunas Arañas Zombi.
challenge_ladykiller,,Challenge Info,KgNone,,Lady Killer,Frauenheld,,Rompecorazones
challenge_ladykiller_offer,,Challenge Info,KgNone,,"Dear Stranger,\nMy crew have been following you and have reported some potential. That said if you can pass this challenge we may have room for one more new recruit in our camp.\n\nCrazy ‘Like a Fox' Jake\n\nChallenge: Kill some female zombies","Lieber Fremder!\nMeine Leute haben dich beobachtet und berichten, dass du Potenzial hast. Wenn du diese Herausforderung schaffst, haben wir in unserem Lager vielleicht Platz für noch einen neuen Rekruten.\n\nCrazy „wie ein Fuchs“ Jake\n\nHerausforderung: Töte ein paar weibliche Zombies",,"Querido/a extraño/a:\nMi grupo te ha estado siguiendo y dice que tienes potencial. Dicho esto, si pasas este desafío, quizá haya lugar para un recluta nuevo en nuestro campamento.\n\nJake, loco como una cabra.\n\nDesafío: Mata a algunas zombis mujer."
challenge_ladykiller_subtitle,,Challenge Info,KgNone,,Kill some Female Zombies,Töte ein paar weibliche Zombies,,Mata a algunas Zombis Mujer.
challenge_maneater,,Challenge Info,KgNone,,The Man Eater,Echte Kerle,,Devorahombres
challenge_maneater_offer,,Challenge Info,KgNone,,"Hey Asshole,\nThe wasteland is a lonely desolate place. We've been looking in on you and think you might be a good addition to our clan. But before we take in another mouth to feed you'll need to prove yourself worthy. Do this task and we'll consider taking you in.\n\nCrazy ‘but still kicking' Jake\n\nChallenge: Kill some male zombies","Hey Arschloch!\nDas Ödland ist einsam und trostlos. Wir haben dich beobachtet und denken, dass du gut zu unserem Klan passen würdest. Aber bevor wir noch ein hungriges Maul mehr durchfüttern müssen, musst du dich erst als würdig erweisen. Erledige diese Aufgabe und vielleicht nehmen wir dich auf.\n\nCrazy „aber noch immer fit“ Jake\n\nHerausforderung: Töte ein paar männliche Zombies",,"Oye, estúpido:\nEl páramo es un lugar solitario y desolado. Te hemos seguido la pista y creemos haber encontrado una adición buena a nuestro clan. Pero antes de tener otra boca que alimentar, debemos asegurarnos de que te lo mereces. Completa esta tarea y lo pensaremos.\n\nJake, loquito, pero coleando.\n\nDesafío: Mata a un par zombis hombre."
challenge_maneater_subtitle,,Challenge Info,KgNone,,Kill some Male Zombies,Töte ein paar männliche Zombies,,Mata a un par Zombis Hombre.
challenge_imalumberjackandimokay,,Challenge Info,KgNone,,I'm a Lumberjack and I'm Okay,Ich bin Holzfäller und mir geht’s gut,,Soy un leñador y me parece bien
challenge_imalumberjackandimokay_offer,,Challenge Info,KgNone,,"Hey Bastard,\nWe've been watching you and we know who you are. You seem like you can take care of yourself pretty well but let's see if you can handle this challenge. Do this and we might just induct you into our private club. You better dress warm.\n\nI'm crazy in the head, Crazy Jake\n\nChallenge: Kill some lumberjack zombies with a fireaxe","Hey Bastard!\nWir haben dich beobachtet und wir wissen, wer du bist. Du scheinst gut auf dich selbst aufpassen zu können. Mal sehen, ob du dich auch dieser Herausforderung stellen kannst. Erledige das und vielleicht nehmen wir dich in unseren privaten Klub auf. Zieh dich lieber warm an.\n\nDer durchgeknallte Crazy Jake\n\nHerausforderung: Töte ein paar Holzfäller-Zombies mit einer Feueraxt",,"Oye, anormal:\nTe hemos estado vigilando y sabemos quién eres. Parece que puedes cuidarte solo bastante bien, pero vamos a ver si puedes hacer esto. Hazlo y puede que te admitamos en nuestro club privado. Será mejor que te abrigues.\n\nDe remate, Jake el Loco.\n\nDesafío: Mata a un par zombis leñador con un hacha de bombero."
challenge_imalumberjackandimokay_subtitle,,Challenge Info,KgNone,,Kill some Snow Zombies,Töte ein paar Schnee-Zombies,,Mata a un par zombis de nieve.
challenge_yournothingspecial,,Challenge Info,KgNone,,You're nothing Special,Du bist nichts Besonderes,,No eres especial
